Season,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls_90min,Ast_90min,G+A_90min,G-PK_90min,G+A-PK,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,xG_90min,xAG_90min,xG+xAG,npxG_90min,npxG+xAG_90min,0
2002-2003,Milenko Ačimovič,SVN,MF,Tottenham,25,1977,17,4,494,5.5,0.0,2.0,2.0,0.0,0.0,0.0,1,0.0,0.0,0.36,0.36,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2002-2003,Clarence Acuña,CHI,MF,Newcastle Utd,27,1975,4,2,150,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2002-2003,Bülent Akın,TUR,MF,Bolton,23,1978,1,0,5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2002-2003,Niclas Alexandersson,SWE,MF,Everton,30,1971,7,4,311,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2002-2003,Jérémie Aliadière,FRA,"FW,MF",Arsenal,19,1983,3,0,25,0.3,1.0,0.0,1.0,1.0,0.0,0.0,0,0.0,3.6,0.0,3.6,3.6,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2002-2003,Marcus Allbäck,SWE,FW,Aston Villa,29,1973,19,9,967,10.7,5.0,1.0,6.0,5.0,0.0,0.0,2,0.0,0.47,0.09,0.56,0.47,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2002-2003,Darren Ambrose,ENG,"FW,MF",Newcastle Utd,18,1984,1,0,15,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2002-2003,Shola Ameobi,NGA,FW,Newcastle Utd,20,1981,28,8,957,10.6,5.0,2.0,7.0,5.0,0.0,0.0,2,0.0,0.47,0.19,0.66,0.47,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2002-2003,Darren Anderton,ENG,MF,Tottenham,30,1972,20,18,"1,557",17.3,0.0,6.0,6.0,0.0,0.0,0.0,3,1.0,0.0,0.35,0.35,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2002-2003,Tore André Flo,NOR,FW,Sunderland,29,1973,29,23,"1,995",22.2,4.0,1.0,5.0,4.0,0.0,0.0,0,0.0,0.18,0.05,0.23,0.18,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2002-2003,Pierre-Yves André,FRA,FW,Bolton,28,1974,9,0,180,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2002-2003,Nicolas Anelka,FRA,FW,Manchester City,23,1979,38,38,"3,381",37.6,14.0,5.0,19.0,13.0,1.0,1.0,0,0.0,0.37,0.13,0.51,0.35,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2002-2003,Julio Arca,ARG,"DF,MF",Sunderland,21,1981,13,7,783,8.7,0.0,1.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.11,0.11,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2002-2003,John Arne Riise,NOR,"DF,MF",Liverpool,21,1980,37,31,"2,899",32.2,6.0,5.0,11.0,6.0,0.0,0.0,1,0.0,0.19,0.16,0.34,0.19,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2002-2003,Espen Baardsen,NOR,GK,Everton,24,1977,1,1,90,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2002-2003,Celestine Babayaro,NGA,"DF,MF",Chelsea,23,1978,19,16,"1,478",16.4,1.0,0.0,1.0,1.0,0.0,0.0,3,1.0,0.06,0.0,0.06,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2002-2003,Phil Babb,IRL,DF,Sunderland,31,1970,26,26,"2,314",25.7,1.0,0.0,1.0,1.0,0.0,0.0,1,0.0,0.04,0.0,0.04,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2002-2003,Markus Babbel,GER,DF,Liverpool,29,1972,2,2,135,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2002-2003,Chris Baird,NIR,"DF,MF",Southampton,20,1982,3,1,157,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2002-2003,Eirik Bakke,NOR,MF,Leeds United,24,1977,34,31,"2,643",29.4,1.0,3.0,4.0,1.0,0.0,0.0,10,0.0,0.03,0.1,0.14,0.03,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2002-2003,Igor Bališ,SVK,"DF,MF",West Brom,32,1970,28,27,"2,319",25.8,2.0,0.0,2.0,1.0,1.0,1.0,0,0.0,0.08,0.0,0.08,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2002-2003,Salva Ballesta,ESP,FW,Bolton,27,1975,5,1,131,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2002-2003,Nick Barmby,ENG,"FW,MF",Leeds United,28,1974,19,16,"1,348",15.0,4.0,2.0,6.0,4.0,0.0,0.0,2,0.0,0.27,0.13,0.4,0.27,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2002-2003,Anthony Barness,ENG,DF,Bolton,29,1973,25,21,"1,923",21.4,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2002-2003,Milan Baroš,CZE,FW,Liverpool,20,1981,27,17,"1,537",17.1,9.0,2.0,11.0,9.0,0.0,0.0,3,0.0,0.53,0.12,0.64,0.53,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
