Season,Player,Team,Points
2022/23,DAVID RAYA,BRENTFORD,166
2022/23,KIERAN TRIPPIER,NEWCASTLE,198
2022/23,BEN WHITE,ARSENAL,156
2022/23,TRENT ALEXANDER-ARNOLD,LIVERPOOL,156
2022/23,MOHAMED SALAH,LIVERPOOL,239
2022/23,MARTIN ODEGAARD,ARSENAL,212
2022/23,MARCUS RASHFORD,MAN UTD,205
2022/23,BUKAYO SAKA,ARSENAL,202
2022/23,GABRIEL MARTINELLI,ARSENAL,198
2022/23,ERLING HAALAND,MAN CITY,272
2022/23,HARRY KANE,TOTTENHAM,263
2021/22,ALISSON BECKER,LIVERPOOL,176
2021/22,TRENT ALEXANDER-ARNOLD,LIVERPOOL,208
2021/22,JOAO CANCELO,MAN CITY,201
2021/22,ANDREW ROBERTSON,LIVERPOOL,186
2021/22,VIRGIL VAN DIJK,LIVERPOOL,183
2021/22,MOHAMED SALAH,LIVERPOOL,265
2021/22,HEUNG MIN SON,TOTTENHAM,258
2021/22,JARROD BOWEN,WEST HAM,206
2021/22,KEVIN DE BRUYNE,MAN CITY,196
2021/22,SADIO MANE,LIVERPOOL,183
2021/22,HARRY KANE,TOTTENHAM,192
2020/21,EMILIANO MARTINEZ,ASTON VILLA,186
2020/21,STUART DALLAS,LEEDS,171
2020/21,ANDREW ROBERTSON,LIVERPOOL,161
2020/21,TRENT ALEXANDER-ARNOLD,LIVERPOOL,160
2020/21,BRUNO FERNANDES,MAN UTD,244
2020/21,MOHAMED SALAH,LIVERPOOL,231
2020/21,HEUNG MIN SON,TOTTENHAM,228
2020/21,SADIO MANE,LIVERPOOL,176
2020/21,HARRY KANE,TOTTENHAM,242
2020/21,PATRICK BAMFORD,LEEDS,194
2020/21,JAMIE VARDY,LEICESTER,187
2019/20,NICK POPE,BURNLEY,170
2019/20,TRENT ALEXANDER-ARNOLD,LIVERPOOL,210
2019/20,ANDREW ROBERTSON,LIVERPOOL,181
2019/20,VIRGIL VAN DIJK,LIVERPOOL,178
2019/20,KEVIN DE BRUYNE,MAN CITY,251
2019/20,MOHAMED SALAH,LIVERPOOL,233
2019/20,SADIO MANE,LIVERPOOL,221
2019/20,RAHEEM STERLING,MAN CITY,204
2019/20,ANTHONY MARTIAL,MAN UTD,200
2019/20,JAMIE VARDY,LEICESTER,210
2019/20,PIERRE AUBAMEYANG,ARSENAL,205
2018/19,ALISSON BECKER,LIVERPOOL,176
2018/19,ANDREW ROBERTSON,LIVERPOOL,213
2018/19,VIRGIL VAN DIJK,LIVERPOOL,208
2018/19,TRENT ALEXANDER-ARNOLD,LIVERPOOL,185
2018/19,MOHAMED SALAH,LIVERPOOL,259
2018/19,EDEN HAZARD,CHELSEA,238
2018/19,RAHEEM STERLING,MAN CITY,234
2018/19,SADIO MANE,LIVERPOOL,231
2018/19,GYLFI SIGURDSSON,EVERTON,182
2018/19,PIERRE AUBAMEYANG,ARSENAL,205
2018/19,SERGIO AGUERO,MAN CITY,201
2017/18,DAVID DE GEA,MAN UTD,172
2017/18,CESAR AZPILICUETA,CHELSEA,175
2017/18,MARCOS ALONSO,CHELSEA,165
2017/18,NICOLAS OTAMENDI,MAN CITY,156
2017/18,MOHAMED SALAH,LIVERPOOL,303
2017/18,RAHEEM STERLING,MAN CITY,229
2017/18,KEVIN DE BRUYNE,MAN CITY,209
2017/18,CHRISTIAN ERIKSEN,TOTTENHAM,199
2017/18,RIYAD MAHREZ,LEICESTER,195
2017/18,HARRY KANE,TOTTENHAM,217
2017/18,JAMIE VARDY,LEICESTER,183
2016/17,TOM HEATON,BURNLEY,149
2016/17,GARY CAHILL,CHELSEA,178
2016/17,MARCOS ALONSO,CHELSEA,177
2016/17,CESAR AZPILICUETA,CHELSEA,170
2016/17,ALEXIS SANCHEZ,ARSENAL,264
2016/17,DELE ALLI,TOTTENHAM,225
2016/17,EDEN HAZARD,CHELSEA,224
2016/17,CHRISTIAN ERIKSEN,TOTTENHAM,218
2016/17,KEVIN DE BRUYNE,MAN CITY,199
2016/17,HARRY KANE,TOTTENHAM,224
2016/17,ROMELU LUKAKU,EVERTON,221
2015/16,PETR CECH,ARSENAL,159
2015/16,HECTOR BELLERIN,ARSENAL,172
2015/16,TOBY ALDERWEIRELD,TOTTENHAM,166
2015/16,LAURENT KOSCIELNY,ARSENAL,153
2015/16,RIYAD MAHREZ,LEICESTER,240
2015/16,MESUT OZIL,ARSENAL,200
2015/16,CHRISTIAN ERIKSEN,TOTTENHAM,178
2015/16,ANDRE AYEW,SWANSEA,171
2015/16,JAMIE VARDY,LEICESTER,211
2015/16,HARRY KANE,TOTTENHAM,211
2015/16,ROMELU LUKAKU,EVERTON,185
2014/15,LUKASZ FABIANSKI,SWANSEA,151
2014/15,BRANISLAV IVANOVIC,CHELSEA,179
2014/15,JOHN TERRY,CHELSEA,177
2014/15,PHIL JAGIELKA,EVERTON,142
2014/15,EDEN HAZARD,CHELSEA,233
2014/15,ALEXIS SANCHEZ,ARSENAL,207
2014/15,DAVID SILVA,MAN CITY,191
2014/15,SANTI CAZORLA,ARSENAL,168
2014/15,SERGIO AGUERO,MAN CITY,216
2014/15,HARRY KANE,TOTTENHAM,191
