Player,Season,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent
David Ospina,2016-2017,0,0,2,143,4,0.0,28.8,0.0,0,18,2.9,0,0,0,0.2
Petr Cech,2016-2017,0,0,134,3097,37,0.1,819.8,0.0,2,660,82.0,12,0,2,13.7
Laurent Koscielny,2016-2017,2,1,121,2821,37,53.9,831.2,239.0,19,723,112.7,10,1,4,11.2
Per Mertesacker,2016-2017,0,0,1,38,1,0.1,17.8,0.0,0,5,1.8,0,0,0,0.2
Gabriel Armando de Abreu,2016-2017,0,0,45,1517,18,84.5,295.8,119.0,2,296,50.0,5,0,6,0.8
Héctor Bellerín,2016-2017,1,5,119,2503,34,508.3,437.6,395.0,12,569,133.8,10,0,4,13.9
Kieran Gibbs,2016-2017,0,1,45,702,3,171.4,142.4,117.0,3,201,43.1,6,0,3,1.7
Mathieu Debuchy,2016-2017,0,0,1,15,0,1.4,1.0,0.0,0,2,0.2,0,0,0,0.2
Carl Jenkinson,2016-2017,0,0,2,82,1,2.0,19.4,0.0,0,12,2.1,0,0,0,0.1
Nacho Monreal,2016-2017,0,3,115,3153,43,280.3,554.0,220.0,9,681,105.8,11,0,5,6.4
Calum Chambers,2016-2017,2,1,83,2250,37,107.0,692.2,80.0,7,499,88.0,7,0,4,3.4
Alexis Sánchez,2016-2017,24,11,264,3217,41,1278.3,1357.8,1896.0,32,834,453.4,13,0,6,29.7
Theo Walcott,2016-2017,10,3,122,1916,26,280.5,541.8,1023.0,7,380,184.1,8,0,1,4.2
Mesut Özil,2016-2017,8,11,167,2841,30,1649.3,834.4,734.0,19,729,322.0,12,0,2,7.5
Santiago Cazorla,2016-2017,2,2,38,618,5,221.7,198.2,89.0,5,159,50.8,4,0,2,1.4
Aaron Ramsey,2016-2017,1,4,56,1236,20,361.2,257.2,496.0,3,240,111.3,4,0,3,1.1
Jack Wilshere,2016-2017,0,3,61,1950,45,544.4,308.4,321.0,2,312,116.8,5,0,4,0.5
Alex Oxlade-Chamberlain,2016-2017,2,7,83,1564,22,519.9,435.4,416.0,3,393,137.5,4,0,1,1.4
Serge Gnabry,2016-2017,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0
Francis Coquelin,2016-2017,0,1,52,1779,27,314.1,291.6,117.0,1,303,72.4,5,0,5,1.9
Alex Iwobi,2016-2017,3,5,89,1456,20,467.8,326.4,592.0,8,352,138.7,9,0,1,1.1
Mohamed Elneny,2016-2017,0,1,26,694,9,108.6,89.0,116.0,0,133,31.1,3,0,1,0.4
Joel Campbell,2016-2017,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0
Granit Xhaka,2016-2017,2,3,85,2483,32,626.2,488.8,193.0,7,506,130.8,10,2,5,3.2
