Season,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls_2,Ast_2,G+A_2,G-PK_2,G+A-PK,Matches,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,xG_2,xAG_2,xG+xAG,npxG_2,npxG+xAG_2
2002-2003,Milenko Ačimovič,si SVN,MF,Tottenham,25,1977,17,4,494,5.5,0,2,2,0,0,0,1,0,0.00,0.36,0.36,0.00,0.36,Matches,,,,,,,,,,,,
2002-2003,Clarence Acuña,cl CHI,MF,Newcastle Utd,27,1975,4,2,150,1.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2002-2003,Bülent Akın,tr TUR,MF,Bolton,23,1978,1,0,5,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2002-2003,Niclas Alexandersson,se SWE,MF,Everton,30,1971,7,4,311,3.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2002-2003,Jérémie Aliadière,fr FRA,"FW,MF",Arsenal,19,1983,3,0,25,0.3,1,0,1,1,0,0,0,0,3.60,0.00,3.60,3.60,3.60,Matches,,,,,,,,,,,,
2002-2003,Marcus Allbäck,se SWE,FW,Aston Villa,29,1973,19,9,967,10.7,5,1,6,5,0,0,2,0,0.47,0.09,0.56,0.47,0.56,Matches,,,,,,,,,,,,
2002-2003,Darren Ambrose,eng ENG,"FW,MF",Newcastle Utd,18,1984,1,0,15,0.2,0,,,0,0,,0,0,0.00,,,0.00,,Matches,,,,,,,,,,,,
2002-2003,Shola Ameobi,ng NGA,FW,Newcastle Utd,20,1981,28,8,957,10.6,5,2,7,5,0,0,2,0,0.47,0.19,0.66,0.47,0.66,Matches,,,,,,,,,,,,
2002-2003,Darren Anderton,eng ENG,MF,Tottenham,30,1972,20,18,"1,557",17.3,0,6,6,0,0,0,3,1,0.00,0.35,0.35,0.00,0.35,Matches,,,,,,,,,,,,
2002-2003,Tore André Flo,no NOR,FW,Sunderland,29,1973,29,23,"1,995",22.2,4,1,5,4,0,0,0,0,0.18,0.05,0.23,0.18,0.23,Matches,,,,,,,,,,,,
2002-2003,Pierre-Yves André,fr FRA,FW,Bolton,28,1974,9,0,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2002-2003,Nicolas Anelka,fr FRA,FW,Manchester City,23,1979,38,38,"3,381",37.6,14,5,19,13,1,1,0,0,0.37,0.13,0.51,0.35,0.48,Matches,,,,,,,,,,,,
2002-2003,Julio Arca,ar ARG,"DF,MF",Sunderland,21,1981,13,7,783,8.7,0,1,1,0,0,0,0,0,0.00,0.11,0.11,0.00,0.11,Matches,,,,,,,,,,,,
2002-2003,John Arne Riise,no NOR,"DF,MF",Liverpool,21,1980,37,31,"2,899",32.2,6,5,11,6,0,0,1,0,0.19,0.16,0.34,0.19,0.34,Matches,,,,,,,,,,,,
