Season,Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls_2,Ast_2,G+A_2,G-PK_2,G+A-PK,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,xG_2,xAG_2,xG+xAG,npxG_2,npxG+xAG_2
2002-2003,Arsenal,28,27.8,,38,418,,,84,66,150,79,5,6,47,2,2.21,1.74,3.95,2.08,3.82,,,,,,,,,,,
2002-2003,Aston Villa,27,26.2,,38,418,,,42,29,71,39,3,4,58,4,1.11,0.76,1.87,1.03,1.79,,,,,,,,,,,
2002-2003,Birmingham City,33,27.9,,38,418,,,40,26,66,36,4,5,66,3,1.05,0.68,1.74,0.95,1.63,,,,,,,,,,,
2002-2003,Blackburn,28,27.7,,38,418,,,50,38,88,45,5,6,55,4,1.32,1.00,2.32,1.18,2.18,,,,,,,,,,,
2002-2003,Bolton,27,29.1,,38,418,,,38,24,62,37,1,2,54,3,1.00,0.63,1.63,0.97,1.61,,,,,,,,,,,
2002-2003,Charlton Ath,26,27.0,,38,420,,,43,24,67,39,4,5,47,1,1.13,0.63,1.76,1.03,1.66,,,,,,,,,,,
2002-2003,Chelsea,23,27.8,,38,416,,,67,40,107,64,3,3,54,1,1.76,1.05,2.82,1.68,2.74,,,,,,,,,,,
2002-2003,Everton,28,27.4,,38,392,,,48,32,80,44,4,4,39,5,1.26,0.84,2.11,1.16,2.00,,,,,,,,,,,
2002-2003,Fulham,27,27.3,,38,417,,,38,23,61,32,6,7,46,6,1.00,0.61,1.61,0.84,1.45,,,,,,,,,,,
2002-2003,Leeds United,29,25.8,,38,401,,,54,39,93,50,4,5,62,1,1.42,1.03,2.45,1.32,2.34,,,,,,,,,,,
2002-2003,Liverpool,23,24.9,,38,418,,,61,49,110,57,4,6,35,1,1.61,1.29,2.89,1.50,2.79,,,,,,,,,,,
2002-2003,Manchester City,26,27.8,,38,419,,,47,40,87,45,2,2,40,5,1.24,1.05,2.29,1.18,2.24,,,,,,,,,,,
2002-2003,Manchester Utd,26,27.0,,38,418,,,73,56,129,64,9,9,39,1,1.92,1.47,3.39,1.68,3.16,,,,,,,,,,,
2002-2003,Middlesbrough,29,26.4,,38,418,,,48,31,79,46,2,3,43,4,1.26,0.82,2.08,1.21,2.03,,,,,,,,,,,
2002-2003,Newcastle Utd,25,24.9,,38,420,,,63,42,105,60,3,4,40,2,1.66,1.11,2.76,1.58,2.68,,,,,,,,,,,
2002-2003,Southampton,25,27.2,,38,417,,,42,24,66,36,6,6,33,3,1.11,0.63,1.74,0.95,1.58,,,,,,,,,,,
2002-2003,Sunderland,34,26.0,,38,413,,,21,16,37,20,1,3,47,0,0.55,0.42,0.97,0.53,0.95,,,,,,,,,,,
2002-2003,Tottenham,25,28.1,,38,414,,,50,35,85,47,3,3,50,4,1.32,0.92,2.24,1.24,2.16,,,,,,,,,,,
2002-2003,West Brom,23,27.2,,38,418,,,29,11,40,28,1,1,45,4,0.76,0.29,1.05,0.74,1.03,,,,,,,,,,,
2002-2003,West Ham,24,27.3,,38,422,,,41,29,70,37,4,5,49,4,1.08,0.76,1.84,0.97,1.74,,,,,,,,,,,
2003-2004,Arsenal,22,27.3,,38,419,,,69,52,121,62,7,7,51,3,1.82,1.37,3.18,1.63,3.00,,,,,,,,,,,
2003-2004,Aston Villa,23,25.7,,38,418,,,48,34,82,44,4,5,52,3,1.26,0.89,2.16,1.16,2.05,,,,,,,,,,,
2003-2004,Birmingham City,27,27.4,,38,428,,,43,29,72,39,4,5,45,5,1.13,0.76,1.89,1.03,1.79,,,,,,,,,,,
2003-2004,Blackburn,28,28.2,,38,412,,,52,39,91,52,0,0,58,3,1.37,1.03,2.39,1.37,2.39,,,,,,,,,,,
2003-2004,Bolton,24,28.5,,38,433,,,47,35,82,46,1,1,63,0,1.24,0.92,2.16,1.21,2.13,,,,,,,,,,,
2003-2004,Charlton Ath,24,28.4,,38,406,,,50,29,79,44,6,8,35,3,1.32,0.76,2.08,1.16,1.92,,,,,,,,,,,
